Año,Marca,Enlace Anuncio Superbowl,Enlace Youtube,Divertido,Muestra Producto Rapido,Patriótico,Celebridad,Peligro,Animales,Usa Sexo,Duración,Costo Estimado,Vistas Youtube,Me Gusta Youtube,Espectadores TV,Vistas Youtube (millones),Me Gusta Youtube (miles)
2012,Budweiser,https://superbowl-ads.com/2012-budweiser-eternal-optimism/,https://www.youtube.com/watch?v=_GeiOdHsW_8,False,True,True,False,False,True,True,60,5.9,222839,587,111.35,0.22,0.59
2013,Hyundai,https://superbowl-ads.com/video-2013-hyundai-sonata-turbo-super-bowl-xlvii-stuck/,https://www.youtube.com/watch?v=WTf0XGpINJI,True,True,False,False,True,True,False,30,2.95,4661,21,108.69,0.0,0.02
2013,Hyundai,https://superbowl-ads.com/video-hyundai-2013-super-bowl-xlvii-ad-epic-playdate/,https://www.youtube.com/watch?v=YyKVvAZSAug,False,False,False,False,False,True,False,90,8.85,3740,7,108.69,0.0,0.01
2013,Doritos,https://superbowl-ads.com/video-doritos-2013-super-bowl-xlvii-commercial-goat-for-sale/,https://www.youtube.com/watch?v=DoM6IhfY8No,True,True,False,False,False,True,False,30,2.95,617972,2800,108.69,0.62,2.8
2013,Budweiser,https://superbowl-ads.com/video-budweiser-black-crown-2013-super-bowl-xlvii-ad-coronation/,https://www.youtube.com/watch?v=AMP9fgyi41M,False,True,False,False,False,False,True,30,2.95,1341,5,108.69,0.0,0.0
2013,Hyundai,https://superbowl-ads.com/video-hyundai-2013-super-bowl-xlvii-ad-santafe-team/,https://www.youtube.com/watch?v=jvm68nEAU7o,True,True,False,False,True,True,False,45,4.42,117293,1000,108.69,0.12,1.0
2013,Bud Light,https://superbowl-ads.com/video-bud-light-2013-super-bowl-xlvii-commercial-lucky-chair/,https://www.youtube.com/watch?v=7HMTkEMdqBQ,True,True,True,True,True,True,True,60,5.9,653,0,108.69,0.0,0.0
2013,Bud Light,https://superbowl-ads.com/video-bud-light-2013-super-bowl-xlvii-ad-journey/,https://www.youtube.com/watch?v=leptS7k6sLE,True,True,False,True,False,False,False,60,5.9,405,1,108.69,0.0,0.0
2013,E-Trade,https://superbowl-ads.com/video-etrade-baby-2013-super-bowl-xlvii-commercial-save-it/,https://www.youtube.com/watch?v=F0nhq4GO90s,True,True,False,False,False,True,False,30,2.95,154,1,108.69,0.0,0.0
2013,Doritos,https://superbowl-ads.com/video-doritos-2013-super-bowl-xlvii-ad-fashionista-daddy/,https://www.youtube.com/watch?v=w_2k5LMeduc,True,True,False,False,False,False,False,30,2.95,1427496,2600,108.69,1.43,2.6
2013,Kia,https://superbowl-ads.com/video-2013-kia-super-bowl-xlvii-commercial-space-babies/,https://www.youtube.com/watch?v=k5vbGQb7jR0,True,False,False,False,False,True,True,60,5.9,10954,42,108.69,0.01,0.04
2013,Budweiser,https://superbowl-ads.com/video-budweiser-black-crown-2013-super-bowl-xlvii-ad-celebration/,https://www.youtube.com/watch?v=2WNvlXoDs7w,False,True,False,False,False,False,True,30,2.95,267,1,108.69,0.0,0.0
2013,Kia,https://superbowl-ads.com/video-kia-forte-2013-super-bowl-xlvii-commercial-hot-bots/,https://www.youtube.com/watch?v=yhPBzlB6VJI,True,True,False,False,True,False,True,30,2.95,32374,195,108.69,0.03,0.2
2013,Budweiser,https://superbowl-ads.com/video-budweiser-2013-super-bowl-xlvii-ad-the-clydesdales-brotherhood/,https://www.youtube.com/watch?v=eJucRz8kYo0,False,True,False,False,False,True,False,75,7.37,218480,2800,108.69,0.22,2.8
2013,Pepsi,https://superbowl-ads.com/video-2013-pepsi-next-super-bowl-xlvii-commercial-party/,https://www.youtube.com/watch?v=WAySopBmbtI,True,False,False,False,False,False,True,45,4.42,1025,2,108.69,0.0,0.0
